generation,average_fitness,best_fitness,elite_average_fitness,fitness_scores
22,-338.3415123939514,-10.060165405273438,-505.2890396118164,"[-180.80104064941406, -829.7770385742188, -735.643310546875, -31.84973907470703, -904.5610961914062, -10.665993690490723, -127.5855941772461, -332.0555725097656, -10.060165405273438, -220.4155731201172]"
23,-151.97797346115112,-8.167634010314941,-67.53308439254761,"[-11.006522178649902, -124.05964660644531, -8.167634010314941, -566.542236328125, -8.474937438964844, -324.21124267578125, -8.759156227111816, -9.227103233337402, -14.723956108093262, -444.6072998046875]"
24,-203.0099850177765,-5.583462238311768,-227.3853635787964,"[-11.980321884155273, -442.7904052734375, -328.67926025390625, -19.487451553344727, -5.583462238311768, -746.21240234375, -28.874155044555664, -111.97010803222656, -319.76263427734375, -14.759649276733398]"
25,-247.97000093460082,-10.619431495666504,-331.9249210357666,"[-30.002002716064453, -633.8478393554688, -14.384937286376953, -39.5618782043457, -637.5494995117188, -313.60894775390625, -323.3440856933594, -344.9083557128906, -131.87303161621094, -10.619431495666504]"
26,-216.1630103111267,-12.060015678405762,-222.73032093048096,"[-427.8974609375, -17.563180923461914, -33.92683410644531, -547.755615234375, -322.68682861328125, -28.175752639770508, -326.09564208984375, -124.25142669677734, -12.060015678405762, -321.21734619140625]"
27,-127.41333465576172,-9.184284210205078,-67.45443344116211,"[-113.51414489746094, -21.39472198486328, -320.6026611328125, -9.184284210205078, -19.9835262298584, -27.484100341796875, -17.4310359954834, -16.58336639404297, -329.2360534667969, -398.7194519042969]"
28,-100.81213665008545,-8.451000213623047,-13.562053680419922,"[-18.653898239135742, -8.470209121704102, -13.082887649536133, -344.13128662109375, -115.20912170410156, -8.485877990722656, -8.451000213623047, -316.43994140625, -50.48322296142578, -124.71392059326172]"
29,-207.08864793777465,-6.71229362487793,-12.849120616912842,"[-16.542659759521484, -9.1555814743042, -633.1209106445312, -28.87865447998047, -618.76416015625, -93.5423812866211, -118.37940216064453, -6.71229362487793, -138.68499755859375, -407.1054382324219]"
30,-136.65607957839967,-6.41142463684082,-72.41107845306396,"[-136.27235412597656, -8.549802780151367, -17.976810455322266, -6.438956260681152, -187.1171875, -13.101056098937988, -375.13519287109375, -6.41142463684082, -602.0060424804688, -13.551968574523926]"
31,-231.35580110549927,-5.922377586364746,-374.3148384094238,"[-628.5369873046875, -120.09268951416016, -326.2577209472656, -11.191040992736816, -11.727015495300293, -8.945886611938477, -449.7533264160156, -120.98277282714844, -5.922377586364746, -630.148193359375]"
